date,close,airline,ticker,daily_return_pct,normalised_price,volatility_30d,year,month,year_month
2015-06-19,12.62407684326172,Cathay Pacific,0293.HK,0.7314332763750153,115.84076701506194,1.456953957398432,2015,6,2015-06
2015-06-22,12.872894287109377,Cathay Pacific,0293.HK,1.9709753587286327,118.12395998829106,1.3570373277931056,2015,6,2015-06
2015-06-23,13.082419395446776,Cathay Pacific,0293.HK,1.6276456845234266,120.04659952542866,1.3544933415527225,2015,6,2015-06
2015-06-24,13.095518112182615,Cathay Pacific,0293.HK,0.10012457436121558,120.1667956722386,1.3480361922375597,2015,6,2015-06
2015-06-25,13.043135643005373,Cathay Pacific,0293.HK,-0.40000302949840805,119.6861248490985,1.350719046162801,2015,6,2015-06
2015-06-26,12.755033493041992,Cathay Pacific,0293.HK,-2.208841170166631,117.04244844845458,1.3558537245764746,2015,6,2015-06
2015-06-29,12.610981941223145,Cathay Pacific,0293.HK,-1.1293702356597435,115.72060587259034,1.3620092038484732,2015,6,2015-06
2015-06-30,12.48002815246582,Cathay Pacific,0293.HK,-1.0384107230322681,114.51895069245144,1.3684301608196063,2015,6,2015-06
2015-07-02,12.820511817932127,Cathay Pacific,0293.HK,2.728228344573358,117.6432891651509,1.4640213924731977,2015,7,2015-07
2015-07-03,12.755033493041992,Cathay Pacific,0293.HK,-0.5107309740828736,117.04244844845458,1.4659605569839589,2015,7,2015-07
2015-07-06,12.637174606323242,Cathay Pacific,0293.HK,-0.9240186376856085,115.96095441078728,1.471806714556753,2015,7,2015-07
2015-07-07,12.807414054870604,Cathay Pacific,0293.HK,1.3471322020206955,117.52310176942554,1.4488898895419455,2015,7,2015-07
2015-07-08,11.956207275390623,Cathay Pacific,0293.HK,-6.646203330611222,109.71227746538834,1.853947973358679,2015,7,2015-07
2015-07-09,12.322880744934082,Cathay Pacific,0293.HK,3.066804222256847,113.07693822303102,1.955373569818189,2015,7,2015-07
2015-07-10,12.270496368408203,Cathay Pacific,0293.HK,-0.4250984620411402,112.5962498977217,1.9430439858367237,2015,7,2015-07
2015-07-13,12.427645683288574,Cathay Pacific,0293.HK,1.2807087029092834,114.0382798693113,1.9274876332109134,2015,7,2015-07
2015-07-14,12.51931381225586,Cathay Pacific,0293.HK,0.7376145997672889,114.87944287095083,1.9182768262340966,2015,7,2015-07
2015-07-15,12.375263214111328,Cathay Pacific,0293.HK,-1.1506269457317364,113.55760904617117,1.928165404294035,2015,7,2015-07
2015-07-16,12.558598518371582,Cathay Pacific,0293.HK,1.481465897640044,115.23992629836562,1.9475598168403017,2015,7,2015-07
2015-07-17,12.741937637329102,Cathay Pacific,0293.HK,1.4598692576191397,116.92227855489841,1.9429345251218593,2015,7,2015-07
2015-07-20,12.807414054870604,Cathay Pacific,0293.HK,0.5138654685428845,117.52310176942554,1.927061034970176,2015,7,2015-07
2015-07-21,12.885988235473633,Cathay Pacific,0293.HK,0.6135054294832187,118.24411237967804,1.8669997193168937,2015,7,2015-07
2015-07-22,12.51931381225586,Cathay Pacific,0293.HK,-2.845528154436472,114.87944287095083,1.9388672128528461,2015,7,2015-07
2015-07-23,12.715746879577637,Cathay Pacific,0293.HK,1.5690402067362275,116.68194751887061,1.9324384598413515,2015,7,2015-07
2015-07-24,12.70265007019043,Cathay Pacific,0293.HK,-0.10299677644765026,116.56176887422984,1.930970965583458,2015,7,2015-07
2015-07-27,12.440739631652832,Cathay Pacific,0293.HK,-2.0618566762870105,114.1584322606983,1.9709008306509719,2015,7,2015-07
2015-07-28,12.388357162475586,Cathay Pacific,0293.HK,-0.42105590767264056,113.67776143755816,1.9456033088778713,2015,7,2015-07
2015-07-29,12.309785842895508,Cathay Pacific,0293.HK,-0.634235181869558,112.95677708055942,1.9315586583796707,2015,7,2015-07
2015-07-30,12.244306564331056,Cathay Pacific,0293.HK,-0.5319286574123616,112.35592761277853,1.8886255230219355,2015,7,2015-07
2015-07-31,12.008589744567873,Cathay Pacific,0293.HK,-1.925113672421852,110.19294828852853,1.911879552874927,2015,7,2015-07
2015-08-03,11.956207275390623,Cathay Pacific,0293.HK,-0.4362083332969613,109.71227746538834,1.9057344409208163,2015,8,2015-08
2015-08-04,12.08716106414795,Cathay Pacific,0293.HK,1.0952786760971112,110.91393264552724,1.8784296046742839,2015,8,2015-08
2015-08-05,11.982397079467772,Cathay Pacific,0293.HK,-0.8667377238061325,109.95259975033153,1.8500827387679812,2015,8,2015-08
2015-08-06,12.04787540435791,Cathay Pacific,0293.HK,0.5464543067291494,110.55344046702788,1.8549957014459608,2015,8,2015-08
2015-08-07,12.28359317779541,Cathay Pacific,0293.HK,1.9565090567938315,112.71642854236248,1.8982791988205863,2015,8,2015-08
2015-08-10,12.231210708618164,Cathay Pacific,0293.HK,-0.4264425597547139,112.23575771922232,1.8601679361161831,2015,8,2015-08
2015-08-11,11.982397079467772,Cathay Pacific,0293.HK,-2.0342518420934153,109.95259975033153,1.8842351842683756,2015,8,2015-08
2015-08-12,11.825251579284668,Cathay Pacific,0293.HK,-1.3114696428511596,108.5106047830803,1.8893132363890797,2015,8,2015-08
2015-08-13,11.327621459960938,Cathay Pacific,0293.HK,-4.208199005215862,103.944262592045,1.9469786378035314,2015,8,2015-08
2015-08-14,11.11809253692627,Cathay Pacific,0293.HK,-1.8497168516380724,102.02158805056902,1.9650309435696591,2015,8,2015-08
2015-08-17,11.104998588562012,Cathay Pacific,0293.HK,-0.11777153608650837,101.90143565918201,1.9636644441348154,2015,8,2015-08
2015-08-18,10.908564567565918,Cathay Pacific,0293.HK,-1.7688792972780587,100.09892226017763,1.9498284885748858,2015,8,2015-08
2015-08-19,10.070453643798828,Cathay Pacific,0293.HK,-7.6830541596556,92.40826784969663,2.067874833268413,2015,8,2015-08
2015-08-20,9.743064880371094,Cathay Pacific,0293.HK,-3.250983272529473,89.40409051946875,2.0077353886380416,2015,8,2015-08
2015-08-21,9.651394844055176,Cathay Pacific,0293.HK,-0.9408747395350026,88.56291001566007,2.006977514995719,2015,8,2015-08
2015-08-24,9.376388549804688,Cathay Pacific,0293.HK,-2.849394296824148,86.03940350857235,2.002600622980733,2015,8,2015-08
2015-08-25,9.035905838012695,Cathay Pacific,0293.HK,-3.63127775671247,82.91507378695748,2.0368542851169837,2015,8,2015-08
2015-08-26,9.17995834350586,Cathay Pacific,0293.HK,1.5942231811132412,84.2369251139063,2.093523195438257,2015,8,2015-08
2015-08-27,9.49424934387207,Cathay Pacific,0293.HK,3.4236647771778594,87.1209150484088,2.199271314489346,2015,8,2015-08
2015-08-28,9.376388549804688,Cathay Pacific,0293.HK,-1.2413913917634245,86.03940350857235,2.1539759623958665,2015,8,2015-08
2015-08-31,9.166861534118652,Cathay Pacific,0293.HK,-2.234623859421858,84.11674646926554,2.1460564714457977,2015,8,2015-08
2015-09-01,9.035905838012695,Cathay Pacific,0293.HK,-1.4285772248063933,82.91507378695748,2.1225543148523887,2015,9,2015-09
2015-09-02,8.996617317199707,Cathay Pacific,0293.HK,-0.4348044514552951,82.55455535520434,2.101835853937037,2015,9,2015-09
2015-09-04,8.970428466796875,Cathay Pacific,0293.HK,-0.29109663642983286,82.31424182134573,2.0479366941379595,2015,9,2015-09
2015-09-07,8.891855239868164,Cathay Pacific,0293.HK,-0.8759138676546097,81.5932399621778,2.0393424544136987,2015,9,2015-09
2015-09-08,9.232338905334473,Cathay Pacific,0293.HK,3.8291633892069132,84.71757843487727,2.2248271259336625,2015,9,2015-09
2015-09-09,9.40577793121338,Cathay Pacific,0293.HK,1.8786033274698521,86.30908568230676,2.2830676737646254,2015,9,2015-09
2015-09-10,9.352413177490234,Cathay Pacific,0293.HK,-0.5673614039520714,85.81940124204144,2.283356919905891,2015,9,2015-09
2015-09-11,9.432461738586426,Cathay Pacific,0293.HK,0.8559134372811528,86.5539410290663,2.3047382943051753,2015,9,2015-09
2015-09-14,9.379095077514648,Cathay Pacific,0293.HK,-0.5657765973591466,86.0642390866318,2.2960112307324745,2015,9,2015-09
2015-09-15,9.419118881225586,Cathay Pacific,0293.HK,0.42673417190204344,86.43150460460193,2.306038378000294,2015,9,2015-09
2015-09-16,9.63258457183838,Cathay Pacific,0293.HK,2.2663021170513,88.39030362325533,2.3481522055530135,2015,9,2015-09
2015-09-17,9.792683601379396,Cathay Pacific,0293.HK,1.6620568275006686,89.85940069947421,2.388002615835611,2015,9,2015-09
2015-09-18,9.792683601379396,Cathay Pacific,0293.HK,0.0,89.85940069947421,2.380694473926421,2015,9,2015-09
2015-09-21,9.69929313659668,Cathay Pacific,0293.HK,-0.95367591340908,89.00243323906956,2.3291087023126704,2015,9,2015-09
2015-09-22,9.872732162475586,Cathay Pacific,0293.HK,1.7881615024552433,90.59394048649905,2.3746183451647034,2015,9,2015-09
2015-09-23,9.792683601379396,Cathay Pacific,0293.HK,-0.8108045450725299,89.85940069947421,2.3610933633448785,2015,9,2015-09
2015-09-24,9.69929313659668,Cathay Pacific,0293.HK,-0.95367591340908,89.00243323906956,2.3585026996145992,2015,9,2015-09
2015-09-25,9.7393159866333,Cathay Pacific,0293.HK,0.4126367712881107,89.36969000595512,2.2659057372202747,2015,9,2015-09
2015-09-29,9.592558860778809,Cathay Pacific,0293.HK,-1.5068524941167172,88.023020603116,2.259599535134046,2015,9,2015-09
2015-09-30,9.68595027923584,Cathay Pacific,0293.HK,0.9735819171137194,88.8799968146052,2.2741316393311193,2015,9,2015-09
2015-10-02,9.886072158813477,Cathay Pacific,0293.HK,2.066104758008569,90.71635065770964,2.3038247092242874,2015,10,2015-10
2015-10-05,10.059514045715332,Cathay Pacific,0293.HK,1.7544064428786532,92.30788415839288,1.8633482225867943,2015,10,2015-10
2015-10-06,10.032830238342283,Cathay Pacific,0293.HK,-0.26525940767898604,92.06302881163333,1.7598563018274431,2015,10,2015-10
2015-10-07,10.006148338317873,Cathay Pacific,0293.HK,-0.2659458935370118,91.818190967043,1.7502111884665208,2015,10,2015-10
2015-10-08,9.926097869873049,Cathay Pacific,0293.HK,-0.8000128095070891,91.08363367784897,1.667755854201374,2015,10,2015-10
2015-10-09,9.806025505065918,Cathay Pacific,0293.HK,-1.2096633176624794,89.98182837285395,1.5285444355007363,2015,10,2015-10
