airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Korean Air,003490.KS,2025,9,2025-09,22720.186941964286,93.94869374013308,-0.19951814883435184,1.6088361281800916,21
Korean Air,003490.KS,2025,10,2025-10,21722.491319444445,89.82319069187848,-0.1412846616631732,1.1962827983790012,18
Korean Air,003490.KS,2025,11,2025-11,21100.3859375,87.25076520296504,-0.059379864866809795,1.2343114606956638,20
Korean Air,003490.KS,2025,12,2025-12,21759.072358630954,89.97445444934701,0.15767349208108697,1.2955119568774893,21
Qantas,QAN.AX,2015,1,2015-01,2.127949666976929,100.59917890990506,0.42763800472521823,,20
Qantas,QAN.AX,2015,2,2015-02,2.2992694973945618,108.69835274773482,0.5401913528046859,2.521193369446997,20
Qantas,QAN.AX,2015,3,2015-03,2.5976092273538764,122.8024137299419,0.3658569982421064,2.0336507055660293,22
Qantas,QAN.AX,2015,4,2015-04,2.8980149030685425,137.00414264569366,0.43529036495341566,1.894648625956347,20
Qantas,QAN.AX,2015,5,2015-05,3.0376388231913247,143.60488698589631,0.21099384035364177,2.361449976554082,21
Qantas,QAN.AX,2015,6,2015-06,2.8211997350056968,133.37269263779626,-0.4919759279666343,2.2896597234033242,21
Qantas,QAN.AX,2015,7,2015-07,3.0912057835122813,146.13727405717668,0.7722056864440097,2.388029038125134,23
Qantas,QAN.AX,2015,8,2015-08,3.192892301650274,150.94452132887645,-0.48284655626617573,2.30829953201522,21
Qantas,QAN.AX,2015,9,2015-09,3.1542397520758887,149.11721553762544,0.47495000758587563,2.4960944496794824,22
Qantas,QAN.AX,2015,10,2015-10,3.3171651038256558,156.81953898257734,0.012948223941029862,1.9296361333541305,22
Qantas,QAN.AX,2015,11,2015-11,3.0575338772365024,144.54542901674068,-0.36433686506022084,2.1754707898598213,21
Qantas,QAN.AX,2015,12,2015-12,3.1744835593483667,150.07424493602977,0.5461913451047674,2.2193278306181417,22
Qantas,QAN.AX,2016,1,2016-01,3.281752084430895,155.14538252619155,-0.26908132635903653,1.7182880184070781,19
Qantas,QAN.AX,2016,2,2016-02,3.184556552342006,150.55044737636518,-0.007026474837496231,1.4452822939897845,21
Qantas,QAN.AX,2016,3,2016-03,3.256470941361927,153.95021222958619,0.2648912815933877,1.8328124223958269,21
Qantas,QAN.AX,2016,4,2016-04,3.0762160301208494,145.4286309409218,-1.1153226340498468,2.1569187969003627,20
